acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.325,['HVME'],0.767,163208,0.659,1,20McUFi8KCIVdNDLrkTDuZ,0,1,0.13,-7.429,1,Goosebumps,90,6/12/20,0.0444,124.946,0.439,2020
0.0337,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",0.793,247308,0.771,0,35UUpTmrcFXNIVIN26ujXl,1.51E-06,5,0.284,-3.417,1,Relación - Remix,90,9/4/20,0.0959,171.943,0.835,2020
0.0847,"['Sebastian Yatra', 'Guaynaa']",0.574,183240,0.891,0,21N4Buj4xsyLb218lYle61,0,0,0.16,-3.665,0,Chica Ideal,90,10/16/20,0.157,100.978,0.707,2020
0.0882,['Farruko'],0.659,180520,0.701,0,15OjBeqNX3bShsGYQbteRv,0,9,0.0866,-4.107,1,La Tóxica,90,7/24/20,0.164,91.97,0.623,2020
0.167,['Camilo'],0.824,187427,0.457,0,73nAK3HgQK8dak83Y2WQ8F,0,6,0.041,-5.428,1,Vida de Rico,90,9/21/20,0.0543,87.977,0.95,2020
0.244,"['Drake', 'Lil Durk']",0.761,261493,0.518,1,2SAqBLGA283SUiwJ3xOUVI,3.47E-05,0,0.107,-8.871,1,Laugh Now Cry Later (feat. Lil Durk),89,8/14/20,0.134,133.976,0.522,2020
0.833,['Taylor Swift'],0.392,214707,0.574,0,0lx2cLdOt3piJbcaXIV74f,0.00179,7,0.145,-9.195,1,willow,89,12/11/20,0.17,81.112,0.529,2020
0.0563,['Ritt Momney'],0.399,210463,0.491,0,6AGOKlMZWLCaEJGnaROtF9,0.00089,6,0.11,-10.778,0,Put Your Records On,89,4/24/20,0.0538,91.066,0.151,2020
0.731,"['Powfu', 'beabadoobee']",0.726,173333,0.431,0,7eJMfftS33KTjuF7lTsMCx,0,8,0.696,-8.765,0,death bed (coffee for your head),89,2/8/20,0.135,144.026,0.348,2020
0.0103,"['Miley Cyrus', 'Dua Lipa']",0.781,169333,0.67,0,5JqZ3oqF00jkT81foAFvqg,0,3,0.0761,-3.912,0,Prisoner (feat. Dua Lipa),89,11/20/20,0.0452,127.99,0.595,2020
0.0332,['Jason Derulo'],0.789,190306,0.711,0,59qrUpoplZxbIZxk6X0Bm3,0,2,0.0876,-4.248,1,Take You Dancing,89,7/22/20,0.041,112.985,0.753,2020
0.00536,"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",0.571,232253,0.693,0,0EhpEsp4L0oRGM0vmeaN5e,0,6,0.173,-8.234,0,UN DIA (ONE DAY) (Feat. Tainy),89,7/24/20,0.0545,168.169,0.393,2020
0.139,"['Ozuna', 'J Balvin', 'Chencho Corleone']",0.714,230693,0.761,0,5y7DaS3jAc9eZzcSOoUIwU,0.00035,5,0.241,-4.596,0,Una Locura,89,9/4/20,0.0427,168.022,0.906,2020
0.269,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",0.845,219048,0.677,0,4HYDUMY0xSpeBr0AMY9cUz,0.000917,11,0.108,-4.798,0,La Curiosidad,89,6/12/20,0.136,90.013,0.68,2020
0.31,"['Wisin', 'Myke Towers', 'Los Legendarios']",0.823,213314,0.821,0,2bgcUk2A3jjKbCJ7KPquTi,4.28E-06,8,0.143,-3.402,0,Mi Niña,89,9/23/20,0.166,99.999,0.791,2020
0.0907,"['Lele Pons', 'Guaynaa']",0.905,155825,0.686,0,11EnQRgRMJwMAesfkB5pnu,0,0,0.266,-3.152,1,Se Te Nota (with Guaynaa),89,9/2/20,0.0664,103.013,0.963,2020
0.487,"['Camilo', 'El Alfa']",0.862,198707,0.72,0,7D7EH7MGyNHWSkqrszerI1,1.19E-06,4,0.0604,-4.048,1,BEBÉ,89,11/25/20,0.0379,129.972,0.965,2020
0.176,"['Rauw Alejandro', 'Anuel AA']",0.823,231595,0.537,1,7r9ZhitdQBONTFOiJW5mr8,3.98E-06,8,0.123,-2.639,1,Reloj,89,10/22/20,0.209,175.946,0.615,2020
0.0166,['Megan Thee Stallion'],0.914,171067,0.732,1,0A1hoCfMLkiAgvhWkkucJa,0,8,0.107,-6.1,0,Body,88,11/20/20,0.241,94.066,0.469,2020
0.00336,['Juice WRLD'],0.65,194621,0.613,1,2U5WueTLIK5WJLD7mvDODv,0,9,0.267,-6.13,0,Wishing Well,88,7/10/20,0.128,149.972,0.0804,2020
0.25,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.8,195429,0.658,1,7hxHWCCAIIxFLCzvDgnQHX,0,1,0.111,-6.142,0,"Lemonade (feat. Gunna, Don Toliver & NAV)",88,8/28/20,0.079,140.042,0.462,2020
0.234,"['Jawsh 685', 'Jason Derulo']",0.767,171375,0.481,1,1xQ6trAsedVPCdbtDAmk0c,0,0,0.269,-8.52,0,Savage Love (Laxed - Siren Beat),88,6/11/20,0.0803,150.076,0.761,2020
0.512,['KAROL G'],0.718,189653,0.712,0,7x4ASXYEKfQBCewcZhK776,0.00121,11,0.104,-4.366,1,"Ay, DiOs Mío!",88,7/10/20,0.174,180.034,0.531,2020
0.189,['Maluma'],0.787,200198,0.728,0,4uoR6qeWeuL4Qeu2qJzkuG,2.29E-05,6,0.0629,-3.455,0,Hawái,88,7/29/20,0.389,180.066,0.545,2020
0.422,"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",0.691,248345,0.739,0,4RJz8NfIe09gpKMiRUWKhJ,3.95E-06,5,0.11,-3.09,0,Parce (feat. Justin Quiles),88,8/21/20,0.229,83.897,0.884,2020
0.0165,['Justin Quiles'],0.807,185840,0.656,1,3GtnId3Cm1Xa6joCj08nzW,0,3,0.0693,-4.395,0,Jeans,88,8/14/20,0.105,83.943,0.89,2020
0.0663,"['Juice WRLD', 'The Kid LAROI']",0.613,158033,0.631,1,5YSHygGN9D0mID1NsVd5my,0,4,0.169,-6.965,1,Reminds Me Of You,87,12/8/20,0.12,149.992,0.33,2020
0.0187,"['Pop Smoke', 'A Boogie Wit da Hoodie']",0.905,190534,0.647,1,2r6OAV3WsYtXuXjvJ1lIDi,0,10,0.282,-5.065,0,Hello (feat. A Boogie Wit da Hoodie),87,7/20/20,0.107,130.97,0.367,2020
0.00473,"['Machine Gun Kelly', 'blackbear']",0.731,139461,0.675,1,7kDUspsoYfLkWnZR7qwHZl,0,5,0.141,-5.134,0,my ex's best friend (with blackbear),87,9/25/20,0.0434,124.939,0.298,2020
0.36,['Ariana Grande'],0.487,201882,0.534,0,3UoULw70kMsiVXxW0L3A33,0,0,0.1,-5.664,0,pov,87,10/30/20,0.0555,131.798,0.173,2020
0.235,['Ashnikko'],0.834,146523,0.663,1,0AUvWawuP0ibk4SQ3sIZjk,0,8,0.372,-6.143,1,Daisy,87,7/9/20,0.133,121.876,0.774,2020
0.057,"['DJ Khaled', 'Drake']",0.8,200221,0.56,1,6EDO9iiTtwNv6waLwa1UUq,0,5,0.134,-4.818,0,POPSTAR (feat. Drake),87,7/17/20,0.261,163.071,0.45,2020
0.487,"['Pop Smoke', 'Lil Tjay']",0.48,213333,0.602,1,5rZlwNFl01HqLWBQGryKSm,0,10,0.0848,-6.335,0,Mood Swings (feat. Lil Tjay),87,7/3/20,0.368,179.798,0.269,2020
0.131,['Shawn Mendes'],0.333,172693,0.637,0,5KCbr5ndeby4y4ggthdiAb,1.80E-05,1,0.149,-4.904,0,Wonder,87,10/2/20,0.0581,139.898,0.132,2020
0.105,"['Maluma', 'The Weeknd']",0.766,200482,0.788,0,0GzuHFG4Ql6DoyxFRnIk3F,5.81E-06,6,0.142,-3.128,0,Hawái - Remix,87,11/5/20,0.312,179.984,0.609,2020
0.223,"['Ariana Grande', 'Justin Bieber']",0.597,228482,0.45,0,4HBZA5flZLE435QTztThqH,0,8,0.382,-6.658,1,Stuck with U (with Justin Bieber),87,5/8/20,0.0418,178.765,0.537,2020
0.0206,"['Black Eyed Peas', 'Shakira']",0.965,222523,0.485,1,1zLBsSVxETQOfINOLYvT5m,0.0237,2,0.0655,-8.784,1,GIRL LIKE ME,87,11/2/20,0.191,124.025,0.312,2020
0.0112,['BTS'],0.746,199054,0.765,0,0t1kP63rueHleOhQkYSXFY,0,6,0.0936,-4.41,0,Dynamite,87,8/28/20,0.0993,114.044,0.737,2020
0.286,"['Robin Schulz', 'KIDDO']",0.504,190218,0.76,1,1FP9s72rDYty6mfoOEYKnE,0,4,0.151,-4.246,1,All We Got (feat. KIDDO),87,10/16/20,0.0426,183.933,0.64,2020
0.185,['Maluma'],0.783,199112,0.727,0,1yoMvmasuxZfqHEipJhRbp,2.46E-05,6,0.0626,-3.454,0,Hawái,87,8/21/20,0.389,180.067,0.558,2020
0.0105,"['Nicky Jam', 'Myke Towers']",0.763,211130,0.621,0,68mrW6gXHgupgSiDHgaDi5,2.94E-06,11,0.106,-6.169,0,Polvo,87,11/20/20,0.066,82.042,0.582,2020
0.0172,"['Juice WRLD', 'Marshmello']",0.625,205485,0.814,1,2Y0wPrPQBrGhoLn14xRYCG,0,0,0.158,-5.181,1,Come & Go (with Marshmello),86,7/10/20,0.0657,144.991,0.535,2020
0.145,"['Eminem', 'Juice WRLD']",0.808,210800,0.745,1,7FIWs0pqAYbP91WWM0vlTQ,0,10,0.292,-5.26,0,Godzilla (feat. Juice WRLD),86,1/17/20,0.342,165.995,0.829,2020
0.758,['Fousheé'],0.711,141224,0.592,1,6HlE9t71z9DjGi7KqSyEpA,0,4,0.156,-7.136,0,Deep End,86,7/31/20,0.23,124.749,0.535,2020
0.777,['Pink Sweat$'],0.813,170345,0.415,0,0ri0Han4IRJhzvERHOZTMr,0,0,0.131,-5.926,1,At My Worst,86,7/17/20,0.0349,91.921,0.667,2020
0.105,"['Jason Derulo', 'Nuka']",0.738,192921,0.85,0,4Lt6GXGzYsa1tgkv3nGSTm,0,8,0.23,-3.049,1,Love Not War (The Tampa Beat),86,11/20/20,0.0642,98.013,0.865,2020
0.819,['Jerry Di'],0.854,197587,0.525,0,6fmQjRuo7XvRFCK2qex5hQ,0,1,0.146,-4.426,1,Mi Cuarto,86,4/3/20,0.214,97.054,0.63,2020
0.11,['Jack Harlow'],0.794,156498,0.756,1,4DuUwzP4ALMqpquHU0ltAB,0,5,0.247,-7.16,0,Tyler Herro,85,10/22/20,0.136,123.066,0.775,2020
0.0631,"['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']",0.904,227478,0.723,1,2MbdDtCv5LUVjYy9RuGTgC,0,11,0.185,-5.224,0,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",85,6/24/20,0.26,145.013,0.835,2020
0.92,['Taylor Swift'],0.462,244000,0.24,1,0sY6ZUTh4yoctD8VIXz339,0,0,0.113,-12.077,1,champagne problems,85,12/11/20,0.0377,171.319,0.32,2020
0.00161,"['CORPSE', 'Savage Ga$p']",0.614,105176,0.937,1,7bCfHiRcfUjG0YVVNUL7Ve,0.00136,1,0.103,-7.443,1,E-GIRLS ARE RUINING MY LIFE!,85,9/25/20,0.115,84.98,0.386,2020
0.316,"['Chris Brown', 'Young Thug']",0.755,176960,0.578,1,1IIKrJVP1C9N7iPtG6eOsK,0,0,0.25,-8.932,0,Go Crazy,85,5/8/20,0.145,94.148,0.581,2020
0.125,['blackbear'],0.782,188344,0.559,1,2mt1IqcFyY1zmYZT8Q3xw9,0,6,0.385,-7.106,0,hot girl bummer,85,8/21/20,0.0767,129.992,0.685,2020
0.232,['The Kid LAROI'],0.719,126521,0.598,0,5psEZhQu6lukjhavJo4AbC,0,9,0.115,-6.254,1,SO DONE,85,10/23/20,0.077,142.592,0.303,2020
0.00162,['Conan Gray'],0.628,185773,0.639,0,6KfoDhO4XUWSbnyKjNp9c4,0,8,0.354,-5.46,1,Maniac,85,3/20/20,0.0435,108.045,0.493,2020
0.0706,"['Future', 'Drake']",0.676,237735,0.609,1,5yY9lUy8nbvjM1Uyo1Uqoc,0,2,0.152,-5.831,0,Life Is Good (feat. Drake),85,1/10/20,0.481,142.037,0.508,2020
0.00776,"['Marshmello', 'Halsey']",0.63,172762,0.633,0,3Z8FwOEN59mRMxDCtb8N0A,0,4,0.0541,-7.088,1,Be Kind (with Halsey),85,5/1/20,0.0457,93.995,0.452,2020
0.869,['Bad Bunny'],0.584,217769,0.411,1,26QApq0cuO9brJigr0C0W4,4.47E-05,10,0.0955,-7.147,0,HACIENDO QUE ME AMAS,85,11/27/20,0.0838,169.934,0.412,2020
0.114,['Bad Bunny'],0.883,156430,0.6,1,26w9NTiE9NGjW1ZvIOd1So,7.94E-06,7,0.0931,-7.188,1,BOOKER T,85,11/27/20,0.37,113.903,0.691,2020
0.00786,['Ava Max'],0.637,162399,0.69,0,7a53HqqArd4b9NF4XAmlbI,0,1,0.124,-4.057,0,Kings & Queens,85,9/18/20,0.0405,129.857,0.457,2020
0.00883,"['Dua Lipa', 'DaBaby']",0.702,203064,0.825,0,5nujrmhLynf4yMoMtj8AQF,0,6,0.0674,-3.787,0,Levitating (feat. DaBaby),85,3/27/20,0.0601,102.977,0.915,2020
0.00115,['Miley Cyrus'],0.705,223279,0.814,0,27ycaQnQAxaPiyeg3nr2aB,0.00312,4,0.203,-5.466,0,Midnight Sky,85,8/14/20,0.0346,110,0.259,2020
0.167,['Dua Lipa'],0.73,221820,0.729,0,017PF4Q3l4DBUiWoXk4OWT,1.39E-06,4,0.349,-3.434,0,Break My Heart,85,3/27/20,0.0883,113.013,0.467,2020
0.0123,['Dua Lipa'],0.793,183290,0.793,0,3PfIrDoz19wz7qK7tYeu62,0,11,0.0951,-4.521,0,Don't Start Now,85,3/27/20,0.083,123.95,0.679,2020
0.427,"['Sech', 'J Balvin']",0.665,216747,0.697,0,5zj8WNkBrEzlI5FKeYV4ol,1.39E-05,9,0.599,-4.819,0,La Luz,85,10/31/20,0.154,94.053,0.556,2020
0.186,"['Ozuna', 'Camilo']",0.734,224187,0.775,0,0JAZWvvqttGFm4UMDsPQXC,0.000542,8,0.123,-3.855,1,Despeinada,85,9/4/20,0.0614,166.039,0.72,2020
0.0816,['J Balvin'],0.843,205933,0.836,0,2lCkncy6bIB0LTMT7kvrD1,0.00138,11,0.0532,-2.474,0,Azul,85,3/19/20,0.0695,94.018,0.65,2020
0.0581,['Justin Quiles'],0.878,202373,0.713,0,4C6BlqqMwjFzOXzqpTeoWR,0,5,0.0822,-4.566,0,Ponte Pa' Mi,85,11/20/20,0.0948,92.028,0.615,2020
0.0413,"['Rauw Alejandro', 'Camilo']",0.848,222680,0.637,0,4ZRrLHqzhGRXYj2qcB4s5S,0,9,0.0521,-5.132,1,Tattoo - Remix with Camilo,85,7/9/20,0.156,96.988,0.698,2020
0.00748,"['21 Savage', 'Metro Boomin']",0.819,195906,0.626,1,5SWnsxjhdcEDc7LJjq9UHk,0.101,10,0.167,-4.574,0,Runnin,84,10/2/20,0.202,143.01,0.415,2020
0.345,['Polo G'],0.832,132833,0.534,1,1VLtjHwRWOVJiE5Py7JxoQ,0,1,0.165,-7.813,0,Martin & Gina,84,5/15/20,0.253,93.924,0.116,2020
0.00981,['Don Toliver'],0.629,167916,0.692,1,527k23H0A4Q0UJN3vGs0Da,0.331,5,0.603,-8.045,1,After Party,84,3/13/20,0.0376,162.948,0.453,2020
0.207,['Lil Mosey'],0.774,162547,0.554,1,6wJYhPfqk3KGhHRG76WzOh,0,0,0.132,-7.909,1,Blueberry Faygo,84,2/7/20,0.0383,99.034,0.349,2020
0.868,['Noah Cyrus'],0.708,156106,0.186,0,6J2LdBN97cDWn0MLxYh9HB,0,9,0.0779,-8.953,0,July,84,5/15/20,0.042,72.541,0.322,2020
0.0221,"['Pop Smoke', '50 Cent', 'Roddy Ricch']",0.49,201600,0.618,1,1H7KnK26kc1YyellpbINEn,3.77E-06,1,0.259,-5.655,1,The Woo (feat. 50 Cent & Roddy Ricch),84,7/3/20,0.104,99.7,0.286,2020
0.233,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",0.716,165978,0.537,1,39Yp9wwQiSRIDOvrVg7mbk,0,0,0.157,-7.648,0,THE SCOTTS,84,4/24/20,0.0514,129.979,0.28,2020
0.0743,"['DJ Khaled', 'Drake']",0.695,218902,0.343,1,35RJhm1pEovTBwnNR0zWad,1.04E-06,5,0.107,-10.798,1,GREECE (feat. Drake),84,7/16/20,0.0432,85.84,0.229,2020
0.671,['347aidan'],0.98,180139,0.413,1,6Pgmqg15yVexuOgtzuxwoX,7.95E-05,8,0.17,-11.052,0,Dancing in My Room,84,10/26/20,0.101,119.993,0.764,2020
0.0103,"['Bad Bunny', 'Jowell & Randy', 'Ñengo Flow']",0.607,295177,0.829,1,2DEZmgHKAvm41k4J3R2E9Y,0,2,0.107,-4.074,1,Safaera,84,2/28/20,0.379,96.172,0.685,2020
0.021,"['Lady Gaga', 'Ariana Grande']",0.672,182200,0.855,0,24ySl2hOPGCDcxBxFIqWBu,0,9,0.323,-3.764,1,Rain On Me (with Ariana Grande),84,5/22/20,0.0397,123.056,0.646,2020
0.151,"['24kGoldn', 'Justin Bieber', 'J Balvin', 'iann dior']",0.721,192745,0.745,1,6FuGJB290AQMAHTfjOYVaK,1.24E-06,7,0.372,-3.508,0,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",84,11/6/20,0.0366,90.988,0.699,2020
0.0103,"['Miley Cyrus', 'Dua Lipa']",0.781,169333,0.67,0,2Oycxb8QbPkpHTo8ZrmG0B,0,3,0.0761,-3.912,0,Prisoner (feat. Dua Lipa),84,11/27/20,0.0452,127.99,0.595,2020
0.46,"['Rauw Alejandro', 'J Balvin']",0.811,190101,0.683,1,22Sh5dlwbERqJAq1fZk5b2,4.75E-05,11,0.128,-2.028,0,De Cora <3,84,11/13/20,0.241,176.037,0.571,2020
0.00402,"['Megan Thee Stallion', 'DaBaby']",0.957,137984,0.437,1,4aarlAfLKVCTxUDNgbwhjH,0,11,0.219,-7.882,1,Cry Baby (feat. DaBaby),83,11/20/20,0.359,130.058,0.616,2020
0.0239,['DaBaby'],0.849,122587,0.536,1,4Z5FyQlevoHoa5FsIVKZju,0,1,0.126,-7.307,1,PRACTICE,83,8/4/20,0.349,141.964,0.308,2020
